"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
36009,84519,84050,200351,200868,201438,201037,200974,200477,200905,200877,201029,200935,200600,199459,198916
36011,82497,82034,83927,83346,83301,83335,82864,82039,81342,81056,80761,80491,80317,79839,79365
36013,140784,140087,81871,81313,81401,81395,81284,81104,80892,80629,80482,80172,80026,79811,79637
36015,91791,91284,139593,138730,138346,137587,137174,136139,135640,135481,135229,135197,134905,134266,133438
36017,51432,51286,91094,90780,90613,90154,89777,88860,88732,88634,88503,88849,88830,88988,89264
36019,79926,79875,51325,51109,51205,51393,51297,51154,51391,51463,51326,50639,50477,50254,49919
36021,63356,63217,79891,80320,80707,81396,81803,82233,82547,82556,82401,82280,82128,81852,81869
36023,48755,48734,63046,62953,63182,63304,63646,63717,63427,63430,63253,63023,63096,62626,62539
36025,47999,48069,48693,48903,48891,49475,49628,49330,49449,49624,49537,49358,49336,49497,49154
36027,273784,277586,47864,47771,47666,47930,48283,48377,48271,48450,48363,48182,47980,47654,47330
36029,956578,952546,280914,284712,287700,290781,292859,294362,294712,295319,296267,296887,297488,298289,297213
36031,38506,38664,949440,946515,943551,941846,938333,931745,925564,921887,920571,919334,919040,920088,920792
36033,49620,51061,38911,38893,39195,39334,39295,39321,39490,39373,39435,39478,39370,39479,39114
36035,54971,55011,51044,50925,50924,51228,51197,51257,51511,51782,51907,51706,51599,51568,51788
36037,60877,60554,54976,54904,54988,55081,55233,55301,55328,55489,55584,55558,55531,55264,55033
36039,47771,47975,60539,60321,60289,60412,60224,60068,59919,59930,59895,59932,60079,59923,59762
36041,5296,5325,47986,47976,48177,48416,48755,49142,49513,49537,49467,49372,49221,48992,48711
36043,64909,64462,5377,5312,5232,5181,5158,5093,4987,4969,4893,4858,4836,4834,4797
36045,112546,112081,64451,64274,63971,64080,64332,64292,64029,64343,64404,64381,64519,64615,64527
36047,2422434,2447352,111790,111422,111112,110246,109924,113486,113650,115059,115033,115023,116229,118161,120730
36049,27072,26914,2467006,2477252,2480559,2472999,2459094,2445809,2436132,2441324,2460361,2487751,2504700,2543667,2572282
36051,63948,64243,26989,26951,26618,26692,26661,26773,27001,27086,26878,27047,27087,27087,27267
36053,69464,69523,64705,65088,65118,65130,65484,65322,65357,65460,65637,65420,65393,64890,64854
36055,734076,733679,69450,69852,70261,71010,71397,71471,72042,72709,73075,73169,73442,72970,72490
36057,50321,49918,738979,739891,741391,741671,741075,738506,738329,739249,741018,743386,744344,747714,748947
36059,1322950,1330815,49605,49472,49298,49449,49460,49505,49724,49798,49951,50001,50219,49932,49848
